,id,profession,salary_from,salary_to,city,street,latitude,longitude,employer,schedule
0,75726886,Продавец-консультант,30000.0,35000.0,Нижний Новгород,улица Плотникова,56.259763,43.858645,Абашина Анна,Сменный график
1,68961441,Старший менеджер по обслуживанию,42200.0,,Дзержинск,,56.2376047,43.4599416,СБЕР,Полный день
2,75728561,Продавец-флорист,35000.0,,Нижний Новгород,улица Никиты Рыбакова,56.348312,43.851207,Цветы (ИП Каянова Александра Геннадьевна),Сменный график
3,75728502,Менеджер по работе с клиентами,47000.0,84000.0,деревня Ольгино,,56.217891,43.939664,Столица Крыш,Полный день
4,74033450,Старший менеджер по обслуживанию,39900.0,,Богородск,,56.1020828,43.5135442,СБЕР,Полный день
5,75733654,Руководитель отдела логистики,60000.0,,Нижний Новгород,улица Петровского,56.245575,43.977923,Издательство Газетный мир,Полный день
6,75727601,Ассистент менеджера коммерческого отдела,35000.0,,Нижний Новгород,улица Дьяконова,56.259133,43.874401,Spar,Полный день
7,70896551,Старший клиентский менеджер,44200.0,,Богородск,,56.102066,43.513611,СБЕР,Полный день
8,75727251,Мастер маникюра,40000.0,60000.0,Нижний Новгород,улица Богородского,56.294621,44.045225,Студия красоты Матрёшка,Полный день
9,75726702,Аналитик сектора мониторинга обеспечения лекарственными средствами и изделиями медназначения,27600.0,,Нижний Новгород,Малая Ямская улица,56.307097,43.979989,ГКУ НО Центр медицинской инспекции,Полный день
10,75730856,Кладовщик-грузчик,40000.0,50000.0,Нижний Новгород,Молодёжный проспект,56.253447,43.807153,НОРТЭКС,Полный день
11,75733436,Слесарь МСР,42000.0,65000.0,Нижний Новгород,,56.326797,44.006516,Перспектива-С,Полный день
12,75733309,"Администратор магазина (Красные Баки, Нижегородская, 12)",29000.0,40000.0,Красные Баки,Нижегородская,57.1280855,45.1634914,Пятёрочка,Полный день
13,75733246,"Администратор магазина (сельский Культура, сельский Культура, Весенняя)",36167.0,49730.0,сельский Культура,Весенняя,56.2139888,44.0205241,Пятёрочка,Полный день
14,75730726,"Администратор магазина (сельский Культура, Изумрудная, 2А)",36167.0,49730.0,сельский Культура,Изумрудная,56.2148088,44.0229994,Пятёрочка,Полный день
15,75729360,"Администратор магазина (Головково, Колхозная, 62а)",28727.0,39681.0,Головково,Колхозная,56.032766,45.010878,Пятёрочка,Полный день
16,75730122,Охранник-водитель,30000.0,40000.0,Нижний Новгород,Краснозвёздная улица,56.286173,43.985128,ЧОО Бумеранг-НН,Полный день
17,75727050,Менеджер по работе с корпоративными клиентами,40000.0,,Нижний Новгород,Аэродромная улица,56.312934,43.898108,База цветов 24.ру,Полный день
18,75731913,"Администратор магазина (Нижний Новгород, Луч, 77)",39000.0,49730.0,Луч,,56.2145974,43.9595049,Пятёрочка,Полный день
19,73576631,Инженер по техническому контролю,33500.0,40600.0,Нижний Новгород,улица Баррикад,56.358856,43.870538,Завод Красное Сормово,Полный день
20,75731690,Специалист по претензионной работе,25000.0,34300.0,Нижний Новгород,Московское шоссе,56.310737,43.839439,Перекресток,Полный день
21,75728270,Электромеханик,50000.0,80000.0,Нижний Новгород,Салганская улица,56.30426,44.019794,Спецмонтаж НН,Полный день
22,75727452,Менеджер по продажам строительных материалов,40000.0,200000.0,Нижний Новгород,Агрономическая улица,56.299391,44.022848,Кирпичная Марка,Полный день
23,75729680,Оператор call-центра,35000.0,,Нижний Новгород,Восточный проезд,56.258388,43.916254,Компания Гармония,Сменный график
24,75732582,Технолог (на производство иглопробивного волокна),40000.0,70000.0,Нижний Новгород,Московское шоссе,56.306113,43.82918,Велам-Рус,Полный день
25,75730888,Токарь,45000.0,,Нижний Новгород,улица Федосеенко,56.340794,43.809588,Шевяков Андрей Николаевич,Полный день
26,75732681,Инженер-электрик,60000.0,65000.0,Нижний Новгород,Московское шоссе,56.306113,43.82918,Велам-Рус,Полный день
27,75729947,Специалист по закупкам,40000.0,,Саров,Московская улица,54.941554,43.328055,Spar,Полный день
28,75731557,"Администратор магазина (Нижний Новгород, Юлиуса Фучика, 27)",39000.0,49500.0,Нижний Новгород,Юлиуса Фучика,56.2326726,43.877048,Пятёрочка,Полный день
